file,org,doc_type,effective_date,applies_to,banned_uses,permitted_uses,phi_rule,disclosure_rule,assessment_rule,secure_tools_named,enforcement,aamc_alignment
raw/us-med-schools/columbia-vagelos--university-genai-policy.md,Columbia University Office of the Provost,formal policy,,students;faculty;staff;researchers,inputting Confidential Information into Generative AI tools (except validated contract/security controls);inputting Personal Information;holding GenAI output as one's own;generating malicious content;unauthorized AI use on assignments/exams treated as unauthorized assistance/plagiarism,responsible exploration encouraged; use of AI-Team-vetted approved applications,Please note this includes Protected Health Information or PHI.,must disclose that materials/work product are based on or derive from Generative AI; be transparent when relying on GenAI output,"if instructor prohibits AI on assignment/exam, unauthorized use treated as unauthorized assistance and/or plagiarism; AI detection a guideline not a grading metric",ChatGPT;Gemini;NotebookLM;GitHub Copilot (named as examples); CUIT/Procurement-vetted approved app list,,no
raw/us-med-schools/cu-anschutz--using-ai-responsibly.md,University of Colorado Anschutz,guidance,,students;faculty;staff,"uploading/sharing personal, sensitive or university data with unvetted AI systems;inputting data into un-approved AI tools (analogous to public sharing, prohibited by many data use agreements)","approved tools per data-classification matrix (Copilot Chat/Pro, CU ChatGPT Edu, Zoom, etc. cleared for HIPAA-level data)","Inputting Confidential or Highly confidential data (e.g., PHI, HIPAA-regulated info) may result in unintended storage or exposure.",,,Microsoft Copilot Chat;Microsoft Copilot Pro;CU ChatGPT Edu;Zoom AI;Adobe Creative Suite;Azure OpenAI;Google Workspace;Vertex AI (public/confidential only),framework under CU system APS Policy #6012 (Responsible Use of AI); Technology Risk Assessment for clinical/HIPAA uses,no
raw/us-med-schools/cu-som--md-program-ai-guidelines.md,University of Colorado School of Medicine,formal policy,,students (Trek Curriculum MD program),non-approved AI systems for clinical or educational work involving sensitive information,"AI assistive, not a replacement; routine grammar/spelling/minor editing without disclosure","This includes patient information (HIPAA), student educational records (FERPA), and confidential institutional data.","must disclose tool used and how it contributed (e.g., ""ChatGPT-4o was used to draft the assessment and plan""); routine grammar/spelling editing exempt",,ChatGPT-4o (in example disclosure); institutionally approved AI systems,"students fully accountable for all submitted work, documentation, and clinical decisions regardless of AI involvement",no
raw/us-med-schools/cwru--provost-ai-policies.md,Case Western Reserve University,guidance,,students;faculty;staff;administrators,,discernment-based responsible use; AI syllabus statements (faculty survey launched June 2025),,"integrity, transparency, discernment and accountability expected",,,,no
raw/us-med-schools/cwru-som--genai-tools-medical-school-assignments-policy.md,Case Western Reserve University School of Medicine,formal policy,2023-08-03,students (University and College Programs),all submitted/presented content must be the student's own work and not the product of generative AI (unless use required/encouraged and clearly stated),anytime use is required or encouraged it will be clearly stated in the exercise,none,,,,,no
raw/us-med-schools/dmu--library-genai-guide.md,Des Moines University,guidance,,students;faculty,,,,,,ChatGPT;Google Gemini;GitHub Copilot (named as examples); ITS-reviewed GenAI tools list,"guidelines do not replace existing policies protecting sensitive data, academic integrity, IP",no
raw/us-med-schools/drexel--provost-ai-guidance-students.md,Drexel University Office of the Provost,guidance,,students,AI to generate final assignment content beyond proofreading unless allowed;AI use without disclosure when disclosure required,per instructor allowance; proofreading generally acceptable,,"cite how and where AI was used if instructor allows; disclose when required, even if heavily revised",,Microsoft Copilot;ChatGPT;Grammarly (examples),governed by Drexel policy PO 103 (Academic Integrity and Artificial Intelligence) Section IV-C; violations reported to Student Conduct & Care,no
raw/us-med-schools/drexel--provost-ai-policies.md,Drexel University Office of the Provost,guidance,,,,,,,,,PO 05 Academic Integrity; PO 103 Academic Integrity Pertaining To Artificial Intelligence; draft faculty GAI policy; Drexel IT GenAI guidance,no
raw/us-med-schools/duke--ai-guidelines-and-tools.md,Duke University,guidance,2026-04-23,students;faculty;staff,unauthorized use of generative AI considered academic misconduct (Duke Community Standard);never use AI tools as a way to avoid learning,"secure, accessible AI platforms offered to students/staff/faculty; CTL classroom guidelines",none,,,,,no
raw/us-med-schools/ecu-brody--responsible-use-of-ai.md,East Carolina University Brody School of Medicine,formal policy,"2026-03-01 (v1.1, approved 2026-02-25)",students/trainees;faculty;staff,AI on Red-tier/Level 3 high-stakes assignments and proctored/closed-book assessments;submitting AI-generated answers as one's own;entering PHI or identifiable peer/faculty content into any AI tool;autonomous grading (Level 3 prohibited example);use of non-approved tools for academic or clinical work,"Level 1: brainstorming, outlining, grammar/clarity, formatting, translation, routine emails, personal study aids; Level 2 (with Methods Note): drafting substantive content, literature summaries, tables; faculty: narrative-feedback drafting, case/question generation","No PHI, near-PHI, or identifiable data in non-approved tools.",Methods Note (short disclosure) required for Level 2 assignments; no disclosure required for grammar/tone/formatting or ungraded study aids; AI use must be visible to faculty,every graded assignment must list its AI tier (Level 1/2/3) in syllabi/LMS; students must never use AI on Red-tier assignments or proctored assessments,"Microsoft Copilot (meets baseline access requirement for non-sensitive educational use); Copilot, ChatGPT, Gemini, Claude (defined as GenAI)",violations addressed under existing Academic Integrity and Professionalism policies; oral defense/process artifact may be requested; reported to Office of Medical Education or Student Affairs,no
raw/us-med-schools/emory--ai-content-generation-proofing.md,Emory University,guidance,,students;faculty,,only Emory-approved secure AI tools (EASAT registry),"AI-generated content in clinical environments must comply with patient privacy laws (e.g., HIPAA) and Emory Healthcare guidelines.",disclose AI involvement where relevant or required; unit-level thresholds distinguishing substantive contributions from minor editing,,ChatGPT;Grammarly (as instructor-permitted examples); EASAT registry tools,,no
raw/us-med-schools/emory--responsible-ai-guidelines-principles.md,Emory University,guidance,,students;clinicians;faculty;researchers;staff,,,,guidance includes Disclosing Use of AI section; AI assistance in editing the guidance itself disclosed,,,,no
raw/us-med-schools/geisel-dartmouth--college-genai-coursework-guidelines.md,Dartmouth College (Office of the Provost),formal policy,effective 2024-07-01; last revised 2025-09-02,undergraduate students incl. Geisel,GenAI tools disallowed by default in courses;no use for submitted coursework unless expressly permitted,instructors may allow/disallow per course and assignment,none,student use of GenAI in submitted work requires appropriate acknowledgment (Academic Honor Policy); discipline-appropriate citation if instructor gives no method; sample acknowledgment statements provided,,DartmouthChat;Claude (Anthropic);ChatGPT;GPT-5 (in sample statements),,no
raw/us-med-schools/geisel-dartmouth--geisel-ai-network.md,Dartmouth Geisel School of Medicine,guidance,,students;faculty;staff,,enterprise tools: Claude via Dartmouth/Anthropic/AWS partnership; chat.dartmouth.edu frontier models (credit-based daily allowance),"If you're working with patient information, grades, disciplinary records, etc., your data is High (DISC 3).",training on disclosing and citing AI use; journals require disclosure of AI tool use in manuscripts,,Claude (claude.dartmouth.edu);DartmouthChat (chat.dartmouth.edu);Copilot for Microsoft 365,,no
raw/us-med-schools/geisel-dartmouth--genai-educational-environments-policy.pdf.md,Dartmouth Geisel School of Medicine,formal policy,effective 2025-08-01; last approved 2025-08-20 (UME-CNTRL-0019),students;instructors (faculty and non-faculty educators),(drafted 4/23/25-6/15/25; explicit ban list not present in captured text),,none,Ensure Ethical and Transparent Use (stated purpose),,OpenAI;ChatGPT;LLMs/GPTs (defined scope),standing curriculum and academic progress committees monitor GenAI use; violations addressed through existing academic misconduct procedures,no
raw/us-med-schools/georgetown-university--ai-guidelines.md,Georgetown University,guidance,,students;faculty;staff,uploading/inputting/analyzing university data in an AI tool not approved by UIS and under enterprise-wide contract;allowing unfamiliar bots into meetings,responsible use situated within existing Georgetown policies and values; enterprise-approved tools,Members of the Georgetown community must respect the privacy of others' personally identifiable information and be aware of any applicable laws and Georgetown policies.,"Use of AI tools must be disclosed if prescribed by law, university policy, or course policy.",,,accountability principle: users accountable for work product or decisions resulting from AI use,no
raw/us-med-schools/gw-smhs--md-student-ai-use-guidelines.md,GW School of Medicine & Health Sciences,guidance,,students (MD);faculty;course directors;instructional staff,"using AI during examinations, quizzes, or graded assessments unless specified;fabricated citations/references/data;AI to mask lack of understanding or substitute for required learning activities;entering PHI, student records, or confidential information into public/non-approved tools;submitting AI-generated content as one's own without disclosure (plagiarism);public tools for student records, unadministered assessment materials, or confidential info;AI to generate grades via public tools","course/clerkship-defined permitted, limited, prohibited uses; GW-approved AI tools (financial-burden consideration); AI for formative feedback drafting with human review",PHI or identifiable patient data may not be entered into public or non-approved AI tools.,"standardized neutral disclosure language encouraged (document, not confess); disclosure of permitted use alone should not trigger disciplinary action; cite e.g. ChatGPT-4",no AI on exams/quizzes/graded assessments unless specified; accessibility requirements apply to assessment AI tools,GWU Approved AI Tools (institutional list),"violations may constitute academic dishonesty/misrepresentation/unprofessional conduct; remediation, grading consequences, course failure, or referral to accountability offices; excludes GME, admissions, clinical operations (separate policies)",no
raw/us-med-schools/harvard-hms-it--generative-ai-guidelines.md,Harvard Medical School IT,guidance,,students;faculty;staff,,approved tools by data-security level (most tools Level 3 and below),"Comply with regulations such as HIPAA, FERPA, and sponsor-specific data requirements.",cite AI contributions appropriately in research and academic work; be transparent about acceptable use,,Zoom Companion;Copilot Premium;Harvard AI Sandbox;Claude;ChatGPT Edu;Microsoft Copilot Premium (one tool per eligible person),uphold academic integrity; follow faculty/student handbook policies,no
raw/us-med-schools/harvard-huit--generative-ai-guidelines.md,Harvard University Information Technology,guidance,,students;faculty;staff,entering confidential (Level 2+) data including medical information into publicly-available generative AI tools,,"You should not enter data classified as confidential (Level 2 and above, including non-public research data, finance, HR, student records, medical information, etc.) into publicly-available generative AI tools",,,IS&D-assessed and approved tools only; vendor tools require risk assessment before Harvard use,,no
raw/us-med-schools/harvard-medical-school--ari-ai-in-research.md,Harvard Medical School,guidance,,faculty;researchers,NIH prohibits peer reviewers from using LLMs/generative AI for review critiques;NSF reviewers prohibited from uploading proposal content to non-approved tools,,,authors should be transparent when AI tools are used and how,,,,no
raw/us-med-schools/harvard-medical-school--handbook-technology-requirements.md,Harvard Medical School,handbook section,,students (MD),passing off AI Sandbox-generated assignment content as the student's own (HMS Code of Conduct violation);uploading substantial documents into public-facing chatbots (copyright),,No identifiable patient information should ever be entered into the Sandbox.,"When AI is used, whether writing, brainstorming, outlining, or critiquing, its use must be disclosed, describing the model and manner in which the tool was used.",Pathways exams/quizzes on ExamSoft; Shelf Exams via NBME (context for assessment integrity),HUIT AI Sandbox (not HIPAA-compliant);ChatGPT,violations of HMS Code of Conduct; clinical-rotation confidentiality lapses subject to disciplinary procedures; computer misconduct subject to criminal penalties under Mass. law,no
raw/us-med-schools/harvard-medical-school--it-genai-guidelines.md,Harvard Medical School IT,guidance,,students;faculty;staff,,approved tools by data-security level,"Comply with regulations such as HIPAA, FERPA, and sponsor-specific data requirements.",cite AI contributions appropriately in research and academic work,,Zoom Companion;Copilot Premium;Harvard AI Sandbox;Claude;ChatGPT Edu;Copilot,,no
raw/us-med-schools/harvard-medical-school--work-with-genai.md,Harvard University,guidance,,,,,none,,,,,no
raw/us-med-schools/harvard-provost--chatgpt-genai-guidelines.md,Harvard University Office of the Provost,guidance,,students;faculty,,University supports responsible experimentation; faculty set permitted-use policies for classes,,,,ChatGPT and other generative AI tools (subject of guidance); vendor tools require IS&D risk assessment,adhere to current academic integrity policies and school handbooks,no
raw/us-med-schools/hofstra--ai-policy-faculty-students.md,Hofstra University Office of the Provost,guidance,,faculty;students,,faculty discretion in AI tool use; library databases approved for coursework,,citing-AI guidance provided by library,,,AI detection tools and academic integrity framework apply,no
raw/us-med-schools/icahn-mssm--student-ai-policy.md,Icahn School of Medicine at Mount Sinai,formal policy,approved September 2025,students;faculty;staff,"generative AI during exams, quizzes, take-home tests, clinical write-ups, patient notes, or other graded assessments unless clearly permitted;entering PHI into any public AI platform;entering unpublished/experimental data, grant proposals, proprietary or confidential material into public AI platforms","instructor-selected AI level per assessment; ISMMS-provided tools (ISMMS Gemini, ChatGPT Edu); synthetic/de-identified data for research on secure infrastructure (Minerva)","students must not upload, reference, or analyze Protected Health Information (PHI) in any public AI platform.",AI-enhanced or generated content must be appropriately disclosed and cited,all course syllabi must include a statement outlining the level of AI use permitted for assignments and assessments; instructors choose the appropriate level per assessment,ISMMS Gemini;ChatGPT Edu (ISMMS instance);Minerva cluster;iThenticate (plagiarism),misuse reviewed as potential violation of Academic Integrity standards in Graduate and Medical Student Handbooks,no
raw/us-med-schools/johns-hopkins-som--genai-hub.md,Johns Hopkins University,guidance,,students;faculty;staff;researchers,,,none,,,,,no
raw/us-med-schools/johns-hopkins-som--student-guidance-genai.md,Johns Hopkins University,guidance,,students,Red category: GenAI use not permitted in any form;submitting AI-generated work as one's own;failing to disclose required use;using GenAI when prohibited (academic misconduct),"Green (liberal, with transparency/accountability) and Yellow (moderate, restricted) course categories; HopGPT recommended platform",,all GenAI use must be disclosed according to course expectations; disclosure may be required per assignment,instructors assign GenAI-use category to courses/components based on learning objectives and assessment goals; proctoring methods permitted,"HopGPT (chat.ai.jh.edu; secure multi-LLM access, complies with university data-privacy standards)",JHU/Whiting School academic integrity policies; Red-category use is an academic integrity violation,no
raw/us-med-schools/johns-hopkins-som--teaching-genai-guidelines.md,Johns Hopkins University,guidance,,faculty;students,AI-generated output not permitted in writing assignments unless explicitly part of assignment;IFP I/II: AI to produce any writing for the course not allowed;AI use during quizzes prohibited;submitting AI-written essays/solutions (unauthorized assistance),"brainstorming or asking how to solve problems, with final work the student's own narrative; some courses permit AI with citation",use or disclosure of health information should be made in the context of generative AI only with JH-approved vendors where appropriate agreements are in place,transparent attribution between automated and human-generated content; failure to disclose violates course syllabus and Homewood Undergraduate Academic Ethics Policy,,ChatGPT;Turnitin (Canvas) scanning for AI,honor-code statement signed by IFP students; conferences/revision preferred over disciplinary action as first step,no
raw/us-med-schools/mayo-mccms--respiratory-care-handbook-genai-policy.md,Mayo Clinic College of Medicine and Science,handbook section,"2026 (AY 2025-2026 handbook, revised annually)",students (Respiratory Care Program),"students may not use generative AI technologies, such as ChatGPT, to answer or assist in answering exam or quiz questions",,none,,,ChatGPT (named in prohibition),"violations result in loss of professionalism and participation points and possible meeting with clinical coordinator; MCCMS Learner Professional Conduct Policy / Warning, Probation, Dismissal procedure",no
raw/us-med-schools/msu--ethics-genai-overview.md,Michigan State University,guidance,,,,,none,,,,,no
raw/us-med-schools/msu--ethics-genai-student.md,Michigan State University,guidance,,students,never enter the information or intellectual property of another person into a generative AI tool without expressed written consent,,,communicate clearly and specifically to instructors and classmates if/when AI is used for assignments or brainstorming,,,,no
raw/us-med-schools/musc--acceptable-use-framework-announcement.md,Medical University of South Carolina,guidance,2026-09-11 (news article),students;faculty,,five-category AI Acceptable Use Framework for Academic Tasks (adapted from AI Assessment Scale),,"framework moves conversation toward AI literacy, transparency and trust","framework informed by the Artificial Intelligence Assessment Scale (Perkins et al., JUTLP 2024) and its update; emerged from plagiarism-policy revision",,,no
raw/us-med-schools/musc--ai-acceptable-use-framework-page.md,Medical University of South Carolina,guidance,2026-07-20,students;faculty (educators),,five-level framework for academic tasks; MUSC 6-step assessment reimagining process,,AI use acknowledged according to instructor expectations and/or citation style guide,"framework contextualized for health sciences education; approved by Education Advisory Council, Student Affairs Advisory Council, Provost Council","Assessment Reimaginer Bot (built on BoodleBox AI, for educators)",,no
raw/us-med-schools/musc--ai-acceptable-use-framework.pdf-sourced.md,Medical University of South Carolina (CATL),guidance,last updated 2025-07-08,students;faculty,,"framework establishes when and how AI tools may be used in academic work (five levels, CC BY-NC-SA 4.0)",,The use of AI should be acknowledged according to the expectations of the course instructor and/or the citation style guide.,"adaptation of The AI Assessment Scale (Perkins, Furze, Roe & MacVaugh 2024); commercial use prohibited",,,no
raw/us-med-schools/musc--ai-in-education-initiatives.md,Medical University of South Carolina,guidance,2024-10-11 (timeline page),faculty;students,,,,,timeline: Oct 2023 leadership AI workshop; April 2024 AI Strategic Plan approved; June 2024 AI-education director search; Plagiarism and AI Guidelines updated,The AI Revolution in Medicine: GPT-4 and Beyond (library resource),,no
raw/us-med-schools/musc-com--policies-procedures-guidelines.md,MUSC College of Medicine,guidance,,students,,,none,,,,,no
raw/us-med-schools/northwestern--it-genai-guidance.md,Northwestern University IT,guidance,,students;faculty;staff,,academic use governed by Provost's Committee on Generative AI with Northwestern IT; Tools and Use Guidance page maps allowed data types,,,,ChatGPT;Microsoft Copilot;Google Gemini;Claude;OtterAI;Zoom IQ;Fireflies;Starry AI;MidJourney,,no
raw/us-med-schools/northwestern-feinberg--galter-genai-guide-students.md,Northwestern University Feinberg School of Medicine (Galter Library),guidance,,students,unauthorized use of ChatGPT or other generative AI tools considered cheating and/or plagiarism (Academic Integrity: A Basic Guide),"professors may allow limited use for brainstorming, with proper citation, or case-by-case",,,,,,no
raw/us-med-schools/northwestern-feinberg--genai-tools-policy.md,Northwestern University Feinberg School of Medicine,formal policy,last approved 2024-12-04 (earlier revision 2023-09-06),students (medical);faculty,"generative AI as substitute for own knowledge acquisition, analysis, self-reflection;creating H&P or patient-care notes with AI outside EHR-supported tools;inputting Feinberg curricular material into public generative AI tools without approval",curricular materials may be uploaded into Copilot in Bing with NetID/password; required assignments authored directly unless specific permission,Protected health information should never otherwise be used within a generative AI tool.,adhere to journal/organization generative AI policies; disclose when and how tools were used in scholarly work,,"Copilot in Bing (protected system, NetID); EHR-supported tools (dot phrases, Smart Phrases)",violations are plagiarism/misrepresentation under Enforcement of University and Feinberg Behavioral Standards Policy; LCME Element 3.5,no
raw/us-med-schools/nyu-grossman--education-genai-guidelines.md,NYU Grossman School of Medicine (IIME),guidance,2024-08-13,students;residents,"AI tools on exams, quizzes, or other assessments unless explicitly instructed otherwise;personal or confidential information in public AI tools",coursework when instructor approves and use complies with Honor Code; private ChatGPT from NYU Langone MCIT,"Sensitive information includes protected health information (PHI) of your patients, research data, course materials, lecture slides, assessment questions...",,,ChatGPT;Claude;Gemini;Copilot;Private ChatGPT from NYU Langone MCIT,treat using AI like collaborating with a classmate; violations of Honor Code,no
raw/us-med-schools/ohsu--dmice-course-genai-policy.md,Oregon Health & Science University (Biomedical Informatics course),curricular,,students,no generative AI access during the final exam;not to produce output intended to be turned in or as replacement for cited reference,as a source of information/ideas; discussion with attribution,,students must attribute use of generative AI in discussion forums or assignments,final exam closed to AI; homework self-assessment rules; program developing general policy,ChatGPT,derived from OHSU academic-integrity policy; enforced through honor code,no
raw/us-med-schools/ohsu--libguides-genai-student-guide.md,OHSU Library,guidance,,students,"Never input Protected Health Information (PHI), FERPA-protected student data, OHSU health data, research data, practice plans, or other restricted or private/sensitive information.",,,acknowledge GenAI use; check instructor expectations and citation style (MLA etc.),,ChatGPT;Microsoft Copilot (with data-sharing off guidance),,no
raw/us-med-schools/ohsu-som--gme-48-ai-use-in-gme.md,OHSU School of Medicine,formal policy,2026-02-12 (Policy GME-48),residents;fellows (GME trainees);supervising faculty;program administration,"inputting PHI, PII, identifiable data or education records (evaluations, milestones, CCC data, applicant data) into non-approved tools;any non-approved AI use (strictly prohibited, subject to disciplinary action)",AI tools only when approved/authorized by OHSU; institutionally embedded clinical decision support in secure HIPAA-compliant systems; 'permitted with attribution' and 'encouraged' categories,Protected Health Information (PHI) or identifiable data (PII) may only be entered into OHSU prior-approved AI tools.,"attribution of how the tool was used is required regardless of tool; users must disclose any AI use in educational, clinical, or scholarly work",trainees must ensure assignments and assessments submitted under their name are their own original work,OHSU registry of institutionally approved/prohibited AI tools (IT Security portal); AI Governance Committee review process,"violations handled under Information Privacy and Security Sanctions Policy (ISP-23); corrective/disciplinary action; report to Program Director, GME, or OHSU Integrity Office",no
raw/us-med-schools/ohsu-som--pa-program-use-of-genai-policy.md,OHSU School of Medicine PA Program,formal policy,2026-06,PA students;faculty,"generative AI as replacement for own knowledge acquisition, analysis, self-reflection;inputting PHI/PII/FERPA records into non-approved tools;submitting AI-generated work as original without disclosure;AI to evaluate, rank or score applicants unless institutionally approved","AI scribes for transcription only in clinical setting; institutionally approved AI for education, workflow efficiency, patient-communication enhancement; learning/teaching aid with faculty review","Protected Health Information (PHI), identifiable data (PII), and FERPA-protected student information may only be entered into OHSU prior-approved AI tools.",attribution of how the tool was used is required,"as a learning, teaching, or assessment aid provided content is critically reviewed by faculty or trainee",OHSU registry of approved AI tools; AI Governance Committee,"violations handled under ISP-23; report to Director of Academic Education, Director of Clinical Education, or Program Director",no
raw/us-med-schools/osu-com--ai-responsible-use.md,The Ohio State University,guidance,,students,,"GenAI for coursework only with explicit permission of each instructor, in allowed ways",,transparency about the role AI played in creating work; disclosure questions posed,,,,no
raw/us-med-schools/osu-com--student-handbook.md,Ohio State College of Medicine,handbook section,2025-06-18,students,,,none,,,,,no
raw/us-med-schools/pcom--academic-integrity-policy.md,Philadelphia College of Osteopathic Medicine,formal policy,,students,"cheating: use or possession of prohibited materials, information, sources, or aids in any academic exercise;facilitation of dishonesty",,none,,,,violations reported via Ethics Point; adapted with acknowledgment to Rutgers policy,no
raw/us-med-schools/pcom-georgia--ai-reshaping-osteo-med-ed.md,PCOM Georgia,curricular,,students,,AI-powered study platforms for COMLEX Level 1/2 preparation; adaptive AI question generation,,,,,,no
raw/us-med-schools/perelman-som--ai-at-psom.md,Perelman School of Medicine (Org Effectiveness),guidance,,faculty;staff;students,entering sensitive information in unapproved tools;using AI-generated content without proper review and attribution,,It's a violation of HIPAA and Penn Medicine policy to share patient or proprietary Penn Medicine data on public AI tools,,,Microsoft 365 Copilot;Copilot Prompt Library;PSOM AI Prompt Library,,no
raw/us-med-schools/perelman-som--ume-genai-policy.md,"Perelman School of Medicine, University of Pennsylvania",formal policy,2026-07-21 (approved and effective),students (UME);faculty in instructional roles,"GenAI in assignments, examinations, or other academic work unless explicitly authorized by course faculty;use of non-approved AI tools for clinical documentation;unauthorized AI clinical documentation is grounds for failing an assignment, course, or clerkship and may initiate professionalism review",AI tools for clinical documentation only if approved and integrated within Penn Medicine/CHOP; Open Evidence-type clinical decision support at faculty discretion; faculty-defined acceptable uses,none,use of AI must be appropriately cited within academic work; syllabi should include acceptable-use statement linking the policy,,UPHS AI Tools;ChatGPT Edu;Microsoft Copilot;Open Evidence,violations may result in failure of assignment/course/clerkship and academic review of professionalism,no
raw/us-med-schools/pitt-som--academic-integrity-policy-genai.pdf.md,University of Pittsburgh School of Medicine,formal policy,2026-03-24 (Curriculum Committee approval),students (medical),presenting AI-derived content without customary and proper acknowledgment;AI use on any assessment activity without attribution or explicit permission (academic dishonesty);unauthorized materials/devices during assessments,,none,customary and proper acknowledgment of sources including content derived from generative AI technologies,"covers formative and summative exams, OSCEs, and graded assignments",,"breaches may result in course or clerkship failures; Code of Professionalism, Code of Student Conduct, Pitt Policy AC39",no
raw/us-med-schools/pitt-som--adhoc-committee-genai-report.md,University of Pittsburgh (Ad Hoc Committee on Generative AI),guidance,2024-03-01,faculty;staff;students,,"committee recommends education, context-sensitive policy; some consensus uses (recommendation letters, grading streamlining with care)",it may be more appropriate for the University to rely on and refer to these policies—as it relies on ... (HIPAA)—than for it to develop GenAI-focused policy itself,,"exams may block GenAI at instructor discretion; recommends policy for sensitive contexts (admissions, student evaluation, hiring)",,,no
raw/us-med-schools/rutgers--guidance-on-the-use-of-ai.md,Rutgers University IT,guidance,,students;faculty;staff,AI tools not permissible for coursework unless clearly stated by instructors;only Rutgers-approved AI tools for university use,Rutgers-approved GenAI tools with data protections (inputs not used for model training),,(none captured beyond course-level expectations),,,Acceptable Use Policy for IT Resources 70.1.1; Academic Integrity Policy 10.2.13; security risk assessment required for AI purchases,no
raw/us-med-schools/stanford-lane-library--ai-in-meded-papers-list.md,"Stanford School of Medicine, Lane Library",curricular,,faculty,,,none,,,,,no
